254,251,254,253,252,254,255,255,251,254,255,254,253,254,254,255,254,254,255,254,254,254,253,253,254,255,254,254,254,255,254,253,252,253,253,254,254,254,255,0,253,255,254,254,254,255,255,255,255,254,254,254,254,254,254,254,253,255,255,255,253,254,255,254,254,254,255,254,254,254,254,255,255,253,252,252,252,253,254,254,254,254,254,252,253,253,253,253,254,254,255,254,254,253,252,0,255,255,1,0,253,254,254,254,254,255,255,255,254,255,1,6,27,30,24,19,14,10,5,3,1,3,3,2,255,254,253,254,0,0,254,253,254,254,254,0,255,255,254,255,0,254,255,253,254,254,254,253,254,255,255,255,0,255,255,255,254,254,254,254,255,0,255,255,255,255,254,255,254,255,255,0,0,254,254,255,254,253,253,254,254,254,255,255,0,255,252,249,252,255,255,2,3,2,0,0,0,0,0,0,0,0,0,1,1,0,255,255,255,254,255,0,0,255,255,0,0,255,255,255,1,255,255,0,0,0,0,254,254,255,0,0,255,0,0,0,255,254,255,255,255,255,1,1,0,0,2,1,0,1,1,255,0,254,255,0,0,255,255,1,255,255,255,0,255,0,2,1,0,1,1,0,0,1,0,0,1,1,1,1,255,250,254,1,1,3,7
251,253,255,254,253,255,255,255,253,254,254,255,254,254,254,254,254,254,254,253,254,254,253,253,254,254,254,255,255,255,255,255,253,252,252,254,254,254,254,255,254,254,254,253,253,253,254,254,254,253,254,254,254,253,255,255,254,255,255,254,254,255,0,255,254,254,253,254,254,253,253,255,255,254,253,252,253,253,254,254,253,253,254,253,253,253,253,252,253,254,254,255,254,252,253,0,255,255,1,255,253,254,254,255,254,254,254,254,255,0,1,19,65,75,74,70,64,58,52,47,43,38,35,29,22,18,12,10,8,6,4,2,1,0,255,0,255,254,254,254,0,255,254,254,254,254,255,255,254,254,254,254,255,254,255,255,254,254,253,253,254,255,254,254,255,255,255,255,255,255,255,0,255,255,255,254,254,254,255,254,254,255,255,255,255,254,251,249,252,0,0,2,4,3,0,255,255,0,0,255,255,255,255,1,6,6,5,5,4,5,7,7,9,6,7,7,7,6,5,6,7,5,7,7,7,7,7,7,5,7,7,6,6,6,6,5,5,6,7,5,5,6,6,6,6,8,7,8,7,7,7,7,7,7,7,7,6,7,8,9,7,6,7,7,7,7,7,6,5,7,6,4,1,0,255,0,1,1,1,0,252,251,254,1,0,1,8
250,0,1,255,254,255,0,255,254,254,253,255,254,255,255,254,254,254,254,253,253,254,253,254,253,254,254,254,255,255,255,254,253,253,253,254,255,255,255,254,254,254,253,253,253,254,254,254,254,254,254,254,253,253,255,255,255,255,255,255,254,254,255,255,254,254,254,254,254,253,253,254,254,255,254,253,253,253,253,254,254,254,254,254,253,254,253,253,253,254,254,254,255,252,252,255,255,0,1,255,254,254,255,0,254,254,253,254,255,0,3,31,84,97,99,98,95,92,89,85,83,78,74,69,64,59,53,50,48,45,42,36,29,25,22,17,12,9,6,4,4,2,254,255,254,254,0,1,0,255,255,254,254,255,0,255,255,255,253,253,254,254,254,254,255,255,255,255,255,255,0,0,0,255,255,255,255,255,0,255,255,255,255,0,254,253,252,250,252,0,0,4,5,2,255,255,255,255,255,255,255,255,254,0,9,8,9,8,9,9,10,9,11,10,11,10,9,9,8,10,10,9,9,9,9,9,8,9,9,10,10,8,7,7,6,6,6,7,7,7,5,5,7,6,6,8,6,7,7,8,7,8,8,9,8,6,8,10,10,10,10,9,8,7,7,7,6,6,6,5,9,7,2,255,255,0,2,1,255,255,253,252,255,0,255,255,8
250,255,1,255,254,254,255,254,253,255,253,254,255,255,0,255,254,255,254,255,254,254,253,254,254,253,255,254,255,255,255,253,254,254,254,255,255,255,255,254,254,255,255,254,254,254,254,254,255,255,255,254,254,254,255,253,254,254,254,254,254,254,255,255,254,254,254,253,254,254,254,254,253,254,254,254,254,254,254,254,254,254,254,253,253,253,253,254,254,254,253,254,253,252,252,255,0,0,1,1,0,255,254,254,255,253,253,253,254,0,3,41,88,96,96,97,97,97,96,96,97,97,96,95,94,92,90,90,91,89,86,81,75,68,64,56,51,47,41,36,33,30,25,20,17,14,11,10,7,4,3,2,1,0,1,1,0,0,254,254,255,255,255,255,255,255,254,255,255,0,1,1,1,0,255,0,0,0,0,255,254,255,0,0,0,254,253,252,253,2,1,4,5,2,255,254,255,255,255,255,255,255,253,252,6,5,4,4,4,4,4,4,4,4,5,3,2,2,4,5,4,7,3,4,4,4,4,3,5,6,6,3,2,1,1,1,1,1,2,2,0,0,2,1,1,1,0,0,2,2,2,2,2,2,2,1,3,6,5,2,3,3,2,1,1,0,1,2,2,0,5,8,3,0,0,1,1,0,0,0,253,252,255,255,253,255,9
253,251,254,0,255,253,255,255,254,254,253,253,254,254,255,255,255,255,254,255,255,255,254,254,254,254,255,255,255,255,254,253,255,255,254,255,255,255,255,255,255,0,0,255,255,254,254,255,255,254,254,254,255,255,254,253,255,253,253,254,254,254,254,254,254,254,253,253,254,254,254,255,255,255,255,255,254,254,254,253,253,254,254,253,252,254,254,254,253,253,253,253,253,252,252,0,0,255,1,1,0,254,253,255,255,255,254,254,255,255,2,53,90,98,98,98,97,97,95,95,96,97,98,98,97,95,96,96,99,98,98,99,98,98,97,95,94,93,91,89,86,82,78,71,65,57,50,44,37,33,28,25,22,19,18,18,16,13,11,11,11,8,7,6,5,4,3,4,2,2,3,3,2,0,0,255,0,0,0,255,0,255,255,0,0,255,254,253,253,2,1,2,4,2,255,255,254,255,254,254,254,253,249,247,1,253,251,253,253,254,255,254,255,252,254,252,252,253,255,253,251,255,254,1,254,255,1,1,0,0,0,255,254,255,254,254,252,0,0,0,255,255,255,255,0,0,0,0,0,0,1,0,255,0,2,0,0,2,2,0,255,0,255,255,0,0,0,1,1,0,0,6,4,0,1,1,0,0,0,2,253,252,255,255,255,255,10
252,252,254,255,254,254,0,0,255,254,254,254,254,255,0,255,255,255,255,254,255,254,255,254,254,254,254,255,255,255,255,254,254,254,255,254,255,254,255,0,255,255,255,255,255,254,253,255,254,253,253,254,254,253,253,253,254,254,253,254,254,254,253,253,254,254,254,254,253,253,255,254,254,254,254,254,255,254,254,253,253,254,254,253,254,254,255,255,252,253,254,253,253,253,252,0,1,0,0,2,0,254,253,255,254,254,255,254,0,3,8,66,95,101,100,99,98,95,95,96,97,97,97,98,98,98,99,100,100,100,98,98,97,95,94,94,92,93,94,95,96,96,101,101,100,98,97,94,89,84,80,78,75,71,68,65,63,59,53,49,43,39,33,30,28,25,22,22,19,18,16,13,11,8,8,0,255,0,0,255,0,255,0,0,0,1,0,254,255,2,254,3,3,0,0,0,255,255,253,254,254,253,249,248,1,254,255,255,253,254,255,255,0,255,0,0,0,0,0,1,1,0,0,0,0,255,0,255,254,0,0,0,255,255,255,255,255,1,0,254,255,255,0,0,254,254,0,0,1,1,1,0,0,0,0,255,255,0,0,1,0,0,255,0,1,1,0,0,1,1,2,6,3,0,1,2,3,0,0,0,252,251,253,255,255,254,10
251,252,253,254,0,252,253,255,254,254,254,254,255,254,254,254,255,255,255,255,254,254,254,255,255,0,254,253,255,255,254,253,253,253,254,254,255,255,0,254,255,255,255,253,253,253,253,253,253,254,253,254,255,254,253,253,254,255,254,255,254,253,0,254,254,254,254,255,253,253,253,253,253,253,253,252,254,254,253,253,253,253,254,254,254,254,254,254,253,254,254,254,254,252,251,2,2,0,0,1,1,255,254,254,253,253,255,1,1,4,13,75,96,102,102,101,98,96,96,97,97,96,97,98,97,97,99,99,101,100,98,97,98,99,97,95,94,95,97,98,98,98,98,99,99,99,98,97,95,93,92,92,94,95,95,96,99,95,95,90,91,89,88,88,88,85,84,82,81,79,76,73,70,61,39,8,0,1,1,255,255,255,255,0,0,2,1,253,253,1,3,3,2,1,255,255,255,254,254,253,254,254,249,250,1,0,254,255,255,255,255,255,255,255,1,1,0,0,0,1,0,1,255,254,255,0,0,0,255,254,255,255,0,0,0,0,0,255,255,254,255,1,1,255,255,255,2,0,1,1,255,255,254,255,1,0,1,255,255,255,255,0,1,0,1,1,1,0,0,255,0,4,3,1,1,0,0,2,2,0,252,251,253,254,254,255,11
253,253,254,254,0,255,0,254,251,252,254,254,254,254,254,254,0,0,255,254,255,255,255,254,1,1,0,0,0,255,253,253,253,253,253,254,0,255,0,255,254,254,254,253,253,254,255,254,254,255,254,254,254,254,253,254,255,255,255,254,254,255,0,255,254,255,255,254,253,253,252,252,252,252,253,254,255,254,253,254,254,253,253,254,254,253,254,254,254,254,254,255,253,249,252,3,3,0,1,1,255,254,254,254,255,255,255,0,1,5,17,79,97,100,101,100,100,100,100,101,97,96,96,97,97,97,99,99,98,97,96,96,97,99,99,99,97,97,97,98,98,98,99,100,99,98,97,96,96,95,95,94,96,98,99,98,97,94,96,94,93,92,93,94,91,90,93,94,95,96,96,96,97,96,76,16,1,2,1,0,0,0,0,255,0,255,253,253,253,0,1,0,1,255,255,255,0,255,255,253,254,254,251,251,0,255,254,255,255,0,0,255,254,254,255,0,0,1,1,1,1,0,255,254,255,255,255,255,0,254,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,0,0,1,1,0,254,255,0,255,254,255,0,0,255,255,0,0,0,0,0,1,1,0,255,255,5,6,3,2,1,1,0,1,1,0,250,249,251,254,254,0,16
254,253,253,254,255,255,0,0,253,253,254,254,254,254,254,253,255,255,254,254,254,255,255,253,255,255,255,255,255,253,253,253,253,254,254,255,254,255,254,255,255,255,254,254,255,254,255,0,255,255,255,255,255,254,255,254,254,255,255,255,254,255,255,255,255,255,255,255,254,254,254,253,252,253,253,254,255,254,254,254,254,254,253,253,253,253,254,254,254,254,254,253,254,252,252,1,1,255,0,1,255,253,253,254,254,254,255,0,1,5,21,83,99,99,99,100,101,104,102,101,100,100,98,97,98,100,102,100,98,96,96,96,96,97,97,100,99,98,98,98,97,99,99,100,100,99,98,98,97,95,96,96,98,100,101,100,96,96,97,98,96,95,96,97,95,96,95,97,98,97,97,96,96,97,85,14,1,0,1,0,1,255,254,254,0,255,253,252,252,0,0,0,1,1,0,0,255,255,255,254,254,254,251,255,4,0,0,0,255,255,255,255,255,255,0,0,255,254,255,255,255,0,255,0,0,0,0,255,0,0,0,0,255,255,255,255,255,254,255,0,255,255,255,255,255,255,255,0,1,0,255,255,255,255,254,255,0,0,0,0,0,255,253,255,0,0,0,0,0,1,2,7,2,1,1,0,0,255,255,1,253,251,253,1,255,254,12
254,255,255,252,253,254,0,255,254,253,254,255,254,253,255,254,254,254,254,254,253,255,255,254,254,255,255,255,254,254,253,253,253,254,255,254,254,255,254,254,255,254,254,255,0,255,0,255,255,254,254,254,255,255,255,254,255,254,254,253,253,254,253,254,254,255,254,254,254,255,255,254,253,253,253,254,253,253,253,254,254,254,254,253,253,254,254,254,253,254,254,253,255,253,251,1,0,254,0,2,254,254,253,253,254,255,255,0,1,5,29,86,98,99,99,99,100,101,101,102,102,102,101,99,99,101,102,102,100,98,97,96,95,96,96,96,97,97,97,97,96,97,98,97,97,98,98,98,97,96,98,98,98,99,100,101,100,99,99,99,99,99,99,99,100,98,97,99,98,95,94,95,96,97,82,15,3,2,1,0,0,255,254,255,255,254,253,251,253,1,0,1,2,1,0,255,255,255,254,253,253,252,250,254,4,255,0,0,255,255,255,255,0,0,255,255,255,254,255,254,254,255,255,0,0,0,0,255,0,0,255,0,1,0,0,0,255,254,255,1,0,255,255,0,0,0,0,255,1,1,0,255,0,255,254,0,255,254,255,255,0,255,254,254,0,255,255,254,0,1,0,7,1,0,0,0,254,255,0,1,255,253,2,2,254,255,12
